Fall,2016,MCGUIER, N.  (co-taught),BSC,03115,PHAGE GENOMICS RSRCH,1,Lect,16,22,73%,5.00,4.88,4.81,4.75,4.94,4.69,4.94,4.94,4.88,5.00
Fall,2016,JARVIK, J.  (co-taught),BSC,03115,PHAGE GENOMICS RSRCH,1,Lect,16,22,73%,5.00,4.94,4.81,4.63,4.94,5.00,4.75,5.00,4.63,5.00
Fall,2016,ANNETTE VINCENT,BSC,03115,PHAGE GENOMICS RSRCH,W,Lect,5,6,83%,5.00,4.60,4.20,4.40,4.00,4.20,4.60,4.40,4.60,4.00
Fall,2016,VISOMIRSKI-ROBIC, L.  (co-taught),BSC,03121,MODERN BIOLOGY,A,Lect,91,148,61%,8.65,3.08,3.39,3.27,2.91,3.08,2.97,4.06,2.77,2.79
Fall,2016,LOPEZ, A.  (co-taught),BSC,03121,MODERN BIOLOGY,A,Lect,91,148,61%,8.38,3.99,3.89,3.90,3.52,4.04,3.99,4.36,3.83,3.42
Fall,2016,DANTONIO, J.  (co-taught),BSC,03121,MODERN BIOLOGY,B,Lect,38,39,97%,6.66,4.92,4.63,4.61,4.47,4.76,4.82,4.92,4.89,4.66
Fall,2016,CAMPANARO, B.  (co-taught),BSC,03121,MODERN BIOLOGY,B,Lect,38,39,97%,6.66,4.58,4.45,4.47,4.37,4.57,4.47,4.84,4.45,4.68
Fall,2016,NATALIE MCGUIER,BSC,03124,MODERN BIOLOGY LAB,1,Lect,16,20,80%,8.19,4.81,4.75,4.81,4.75,4.81,5.00,4.81,4.88,4.81
Fall,2016,VERONICA HINMAN,BSC,03125,EVOLTN,A,Lect,12,26,46%,6.00,4.42,4.25,4.33,4.17,4.17,4.50,4.75,4.25,4.00
Fall,2016,BROOKE MCCARTNEY,BSC,03132,BAS SCI TO MOD MEDCN,A,Lect,13,28,46%,6.75,3.92,2.92,3.62,3.00,4.08,3.85,3.77,3.46,3.38
Fall,2016,MOHAMED BOUAOUINA,BSC,03132,BAS SCI TO MOD MEDCN,W,Lect,10,14,71%,8.60,4.20,4.40,4.20,3.00,3.60,4.20,3.90,3.90,3.50
Fall,2016,JONATHAN MINDEN,BSC,03151,HONORS MOD BIOLOGY,1,Lect,39,58,67%,10.16,4.92,4.67,4.59,4.51,4.85,4.85,4.97,4.85,4.85
Fall,2016,RULE, G.  (co-taught),BSC,03151,HONORS MOD BIOLOGY,W,Lect,15,20,75%,8.80,4.87,4.33,4.33,4.27,4.33,4.60,4.93,4.40,4.47
Fall,2016,HOVIS, K.  (co-taught),BSC,03151,HONORS MOD BIOLOGY,W,Lect,15,20,75%,8.21,4.47,4.60,4.47,4.27,4.33,4.53,4.73,4.40,4.27
Fall,2016,BECKI CAMPANARO,BSC,03201,UNDGRAD COLLQM SOPHM,A,Lect,29,49,59%,2.21,4.55,4.66,4.59,4.55,4.55,4.61,4.66,4.55,4.21
Fall,2016,HOVIS, K.  (co-taught),BSC,03201,UNDGRAD COLLQM SOPHM,W,Lect,13,19,68%,2.23,4.85,4.85,4.62,4.31,4.62,4.62,4.85,4.69,4.54
Fall,2016,VINCENT, A.  (co-taught),BSC,03201,UNDGRAD COLLQM SOPHM,W,Lect,13,19,68%,2.23,4.77,4.69,4.54,4.23,4.54,4.54,4.77,4.69,4.46
Fall,2016,CONRAD ZAPANTA,BSC,03206,BIOMED ENG LAB,A,Lect,7,7,100%,9.29,4.71,4.43,4.71,4.43,4.71,4.71,5.00,4.86,4.43
Fall,2016,CONRAD ZAPANTA,BSC,03206,BIOMED ENG LAB,B,Lect,3,6,50%,12.00,5.00,4.00,4.00,5.00,4.00,4.67,5.00,4.67,4.00
Fall,2016,LOPEZ, A.  (co-taught),BSC,03220,GENETICS,1,Lect,65,90,72%,9.25,3.98,3.89,3.83,3.66,3.94,3.54,4.22,3.57,3.56
Fall,2016,MCMANUS, C.  (co-taught),BSC,03220,GENETICS,1,Lect,65,90,72%,9.17,4.48,4.17,4.12,4.00,4.23,3.98,4.58,3.94,3.73
Fall,2016,GORDON RULE,BSC,03232,BIOCHEMISTRY I,W,Lect,12,14,86%,11.33,4.92,4.92,4.83,4.75,4.92,4.92,4.92,4.92,4.83
Fall,2016,DANIEL BRASIER,BSC,03260,NEURO OF DISEASE,A,Lect,33,40,82%,7.64,4.97,4.97,4.88,4.82,4.94,4.94,4.97,4.94,4.91
Fall,2016,BECKI CAMPANARO,BSC,03301,UNDGRAD COLLQM JUNR,A,Lect,1,4,25%,2.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00
Fall,2016,MANOJKUMAR PUTHENVEEDU,BSC,03320,CELL BIOLOGY,A,Lect,31,53,58%,8.93,4.55,4.42,4.45,4.03,4.39,4.45,4.71,4.33,4.29
Fall,2016,VERONICA HINMAN,BSC,03326,EVLN REGLTY GENOMICS,A1,Lect,4,6,67%,5.00,5.00,4.75,4.75,5.00,5.00,4.75,4.75,4.75,4.75
Fall,2016,IHAB YOUNIS,BSC,03330,GENETICS,W,Lect,15,18,83%,9.57,4.87,5.00,5.00,4.73,4.87,4.93,5.00,4.93,4.80
Fall,2016,DOONAN, C.  (co-taught),BSC,03343,EXP TECHN MOL BIOLGY,1,Lect,28,49,57%,20.93,4.18,3.54,3.75,3.71,3.89,3.96,3.96,3.64,3.21
Fall,2016,DRILL, E.  (co-taught),BSC,03343,EXP TECHN MOL BIOLGY,1,Lect,28,49,57%,21.19,4.32,3.79,3.86,4.00,4.04,4.11,4.46,4.00,3.43
Fall,2016,ANNETTE VINCENT,BSC,03343,EXP TECHN MOL BIOLGY,W,Lect,7,9,78%,21.43,4.86,4.71,4.57,4.29,4.71,4.71,5.00,4.71,4.29
Fall,2016,MOHAMED BOUAOUINA,BSC,03350,DEVELOPMNTL BIOLOGY,W,Lect,1,2,50%,8.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00
Fall,2016,ARYN GITTIS,BSC,03362,CELLULAR NEUROSCIENC,A,Lect,34,44,77%,7.27,4.41,4.15,4.18,3.82,4.29,4.18,4.38,4.06,4.09
Fall,2016,DANIEL BRASIER,BSC,03366,BIOCHEM OF THE BRAIN,A,Lect,10,11,91%,7.40,5.00,4.80,4.60,4.80,4.70,4.80,5.00,4.80,4.50
Fall,2016,IHAB YOUNIS,BSC,03380,VIROLOGY,W,Lect,6,8,75%,9.67,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00
Fall,2016,GORDON RULE,BSC,03390,MOLECULAR CELL IMMUN,W,Lect,14,20,70%,8.92,4.93,4.93,4.93,4.86,4.93,4.86,4.93,5.00,5.00
Fall,2016,BECKI CAMPANARO,BSC,03401,UNDGRAD COLLQM SENRS,A,Lect,1,3,33%,2.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00
Fall,2016,AARON MITCHELL,BSC,03410,SP TPCS IN BIOLOGY,A2,Lect,12,13,92%,4.00,4.83,4.75,4.75,4.50,4.92,4.50,4.58,4.42,4.58
Fall,2016,JASON DANTONIO,BSC,03435,CANCER BIOLOGY,A,Lect,16,20,80%,7.80,4.63,4.69,4.56,4.50,4.88,4.69,4.44,4.63,4.75
Fall,2016,JOHN WOOLFORD,BSC,03442,MOLECULAR BIOLOGY,A,Lect,7,11,64%,6.71,5.00,4.71,4.57,4.86,4.71,4.71,4.86,4.86,4.71
Fall,2016,ETTENSOHN, C.  (co-taught),BSC,03451,ADV DEV BIO HUM HLTH,A,Lect,2,5,40%,9.50,5.00,4.50,5.00,4.50,5.00,5.00,5.00,5.00,5.00
Fall,2016,MCCARTNEY, B.  (co-taught),BSC,03451,ADV DEV BIO HUM HLTH,A,Lect,2,5,40%,9.50,5.00,5.00,5.00,4.00,5.00,5.00,5.00,5.00,5.00
Fall,2016,M DURAND,BSC,03511,GENOMICS & MOLEC BIO,A,Lect,3,4,75%,10.00,5.00,4.67,4.67,4.67,5.00,5.00,5.00,5.00,4.67
Fall,2016,RUSSELL SCHWARTZ,BSC,03512,CPTL MTH BIO MDL SIM,A,Lect,1,2,50%,8.00,4.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00
Fall,2016,FREDERICK LANNI,BSC,03534,BIO IMG & FLR SPECTR,A,Lect,1,6,17%,8.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00
Fall,2016,SHOBA SUBRAMANIAN,BSC,03709,APP CELL MOLC BIOLGY,1,Lect,23,23,100%,10.77,4.61,4.57,4.57,4.30,4.43,4.43,4.57,4.43,4.32
Fall,2016,M DURAND,BSC,03711,GENOMICS & MOLEC BIO,A,Lect,4,5,80%,8.75,5.00,5.00,5.00,5.00,4.75,5.00,5.00,5.00,5.00
Fall,2016,RUSSELL SCHWARTZ,BSC,03712,CPTL MTH BIO MDL SIM,A,Lect,6,9,67%,14.20,4.17,4.17,4.33,4.17,4.00,4.33,4.50,4.17,4.17
Fall,2016,VERONICA HINMAN,BSC,03726,EVLN REGULY GENOMICS,A1,Lect,3,7,43%,8.00,4.67,5.00,4.33,4.67,4.33,4.67,5.00,4.67,3.67
